time_bjd_minus_2450000,relative_flux
1860.050335,1.174291723633053
1860.0707686,1.1275712655450536
1860.0912023,1.0914503890320468
1860.1116358,1.046010393875407
1860.1320694,1.025359123350358
1860.1525031,0.9974519874257746
1860.1729367,0.9725859691497425
1860.1933702,0.9542276573419047
1860.2138039,0.9284873689137331
1860.2342375,0.914340590678084
1860.2546711,0.8913658676863286
1860.2751047,0.8839994605699721
1860.2955382,0.8709475463616196
1860.3159719,0.8841378843172417
1860.3364055,0.8733573911564687
1860.3568391,0.8488520464332153
1860.3772727,0.815019500543041
1860.3977063,0.7852645642928402
1860.4181398,0.7843899127373785
1860.4385735,0.8594408653416354
1860.4590071,1.0858054070319971
1860.4794406,1.3581007842405055
1860.4998743,1.5578584704412552
1860.5203079,1.5978499742483052
1860.5407416,1.5305939769435
1860.5611751,1.4344717506010085
1860.5816087,1.3564756431985998
1860.6020424,1.28944849616472
1860.6224759,1.231617922134082
1860.6429095,1.1815497156272958
1860.6633432,1.1407960269679802
1860.6837767,1.1027371354671283
1860.7042103,1.0566033906301862
1860.724644,1.0233872453887969
1860.7450776,0.9989781746381564
1860.7655111,0.9736794408143681
1860.7859448,0.9490039061283575
1860.8063784,0.9263348433480907
1860.8268121,0.9089583843779013
1860.8472456,0.8966851965197752
1860.8676792,0.888824464785041
1860.8881129,0.8808865927549426
1860.9085464,0.88879171988482
1860.92898,0.8696810358305759
1860.9494137,0.8532179822957778
1860.9698472,0.8131599865309612
1860.9902808,0.7876041575579618
1861.0107144,0.7815486189603262
1861.031148,0.8402102977184724
1861.0515815,1.058112877762029
1861.0720152,1.3489753070561712
1861.0924488,1.5414306844219785
1861.1128825,1.6111649296823094
1861.133316,1.5418566563073581
1861.1537496,1.4458392156970203
1861.1741833,1.369417898931173
1861.1946168,1.3058821933576161
1861.2150504,1.2357425474908141
1861.2354841,1.1864569918527488
1861.2559177,1.1369254807723614
1861.2763512,1.1099208250893438
1861.2967849,1.0553876310037376
1861.3172185,1.0307088380027851
1861.3376521,0.9967448490375607
1861.3580857,0.9691790103747508
1861.3785193,0.9371217118179215
1861.398953,0.9065087490753754
1861.4193865,0.9122628720815172
1861.4398201,0.8957524403226784
1861.4602538,0.8777927711569823
1861.4806873,0.8688483886114587
1861.5011209,0.8757658376676994
1861.5215546,0.857803867558574
1861.5419881,0.8429231860175929
1861.5624217,0.8210999014406906
1861.5828554,0.7944306657958404
1861.6032889,0.7792341907678971
1861.6237226,0.8418292275777345
1861.6441562,1.0380732502434016
1861.6645897,1.3236830266049986
1861.6850234,1.5385088542764118
1861.7054569,1.6144180330892384
1861.7258906,1.5427942088635864
1861.7463242,1.4537843856076618
1861.7667578,1.3723092793987757
1861.7871913,1.2984104435255612
1861.807625,1.2308467974597563
1861.8280586,1.1927460857401744
1861.8484922,1.1334542624225141
1861.8689258,1.089200921260298
1861.8893594,1.0422118336612423
1861.9302266,1.0010228705569206
1861.9506602,0.9753129708297806
1861.9710939,0.9576702581955303
1861.9915274,0.9252348870876225
1862.011961,0.9187979128993568
1862.0323947,0.9001025664484628
1862.0528282,0.8838284964498688
1862.0732619,0.8768715910487866
1862.0936955,0.8810732176243598
1862.114129,0.8739286961716068
1862.1345627,0.8519223264285476
1862.1549963,0.8184421734293814
1862.1754298,0.7901835785298953
1862.1958635,0.7824417216325202
1862.2367307,1.012436980701675
1862.2571643,1.2961880105242845
1862.2775979,1.5106922456795244
1862.2980316,1.6201081248090872
1862.3184651,1.5468777760295658
1862.3388987,1.4595399942326603
1862.3797659,1.2715926237612862
1862.4001995,1.2367217536637782
1862.4206332,1.1902330350839627
1862.4410667,1.145534042768068
1862.4615003,1.1133097179740838
1862.481934,1.060679072054369
1862.5023675,1.039709470764974
1862.5228012,1.0006449317051185
1862.5432348,0.9696075755925394
1862.5636683,0.9407365114550622
1862.584102,0.931553924937975
1862.6045356,0.9223845077619512
1862.6249691,0.8980406592145227
1862.6454028,0.8757255080890757
1862.6658364,0.8604626030360607
1862.6862699,0.8679365949866699
1862.7067036,0.8643547042775024
1862.7271372,0.8406050601907069
1862.7680044,0.7855539197475814
1862.788438,0.7846644917119908
1862.8088717,0.8312889353895905
1862.8293052,1.0
1862.8497388,1.2827085807934924
1862.8701725,1.4946379323483872
1862.8906061,1.60740013327247
1862.9110396,1.5479609476709204
1862.9314733,1.447784757508076
1862.9519069,1.3768036225295122
1862.9723405,1.3099417981379502
1862.9927741,1.2505815005109893
1863.0132077,1.1924275459576525
1863.0336413,1.1259108388692387
1863.0540749,1.099623468206668
1863.0745084,1.0618422459931918
1863.0949421,1.0296461501362597
1863.1153757,1.0030532744391663
1863.1358094,0.9783449328389434
1863.1562429,0.9592504243673633
1863.1766765,0.9430354092397049
1863.1971102,0.9165243337847944
1863.2175437,0.9008158104742161
1863.2379773,0.8921872241806427
1863.258411,0.8798000858117924
1863.2788445,0.8790225168308838
1863.2992781,0.8771300702839365
1863.3197118,0.8608985968969836
1863.3401453,0.8263651622673769
1863.360579,0.7893688785193099
1863.3810126,0.7700519057411173
1863.4014461,0.8154399789632506
1863.4218798,0.9734552686475545
1863.4423134,1.257430528061671
1863.462747,1.4847864651504052
1863.4831806,1.6124267706310227
1863.5036142,1.5535741987367069
1863.5240478,1.4673847456196427
1863.5444815,1.3882126577822123
1863.564915,1.3171644479421487
1863.5853487,1.260305988887188
1863.6057823,1.195132344227936
1863.6262158,1.1538889116539923
1863.6466495,1.1135763528956808
1863.6670831,1.0770007357868818
1863.6875166,1.042912805463851
1863.7079503,1.0183099797323858
1863.7283838,0.980076554322584
1863.7488174,0.9603023684698059
1863.7692511,0.9426619990727485
1863.7896846,0.915562507699297
1863.8101183,0.8946063983858813
1863.8305519,0.8797352621340169
1863.8509854,0.87175811737589
1863.8918527,0.8681764478658768
1863.9122863,0.8485784529640852
1863.9327199,0.8219776329514564
1863.9531535,0.7962400163882204
1863.9735871,0.7796505686758146
1863.9940207,0.8085744238964658
1864.0144543,0.9623033551493844
1864.034888,1.2451107994933397
1864.0553216,1.4708486966670988
1864.0757551,1.616381979521467
1864.0961888,1.574243830620491
1864.1166224,1.4757473091176154
1864.1370559,1.3966384687625162
1864.1574896,1.3141108467373592
1864.1779232,1.257812771132645
1864.1983568,1.200173408106433
1864.2187904,1.1558992980604037
1864.239224,1.0957916834051804
1864.2596577,1.056953789085351
1864.2800912,1.0303386704997815
1864.3005248,1.0039867932411033
1864.3209584,0.9785792440285886
1864.341392,0.9539728172933144
1864.3618256,0.9291204092860773
1864.3822592,0.9063835189142291
1864.4026928,0.8943098208976201
1864.4231265,0.8857272372577756
1864.44356,0.8794679149453416
1864.4639936,0.8827627521904342
1864.4844273,0.8758303688566961
1864.5048608,0.8578512728619727
1864.5252944,0.836534776108011
1864.5457281,0.7986711556776973
1864.5661616,0.7911229803901695
1864.5865952,0.8176435214680492
1864.6070289,0.9518839409859252
1864.6274625,1.2373028121657645
1864.6478961,1.4633762421416514
1864.6683297,1.6123079670129037
1864.6887633,1.5739103815456086
1864.7091969,1.4863188989488396
1864.7296305,1.39971623526539
1864.7500641,1.3215633921287226
1864.7704978,1.2608865149045068
1864.7909313,1.2008368317359182
1864.8113649,1.1547926206735726
1864.8317986,1.1137917584886234
1864.8522321,1.0749097445936848
1864.8726658,1.045673254307196
1864.8930994,1.0229254880954508
1864.9135329,0.9827521440852173
1864.9339666,0.9567709928289205
1864.9544002,0.9446088279315716
1864.9748337,0.9233364919213053
1864.9952674,0.9122040582165477
1865.015701,0.8884561542029714
1865.0361346,0.8746292555385703
1865.0565682,0.8725212241330642
1865.0770018,0.8595675265605379
1865.0974354,0.8659563475706274
1865.117869,0.8433813634530275
1865.1383026,0.808112826473629
1865.1587362,0.7888383209091216
