absolute_frequency_residual,alias_advisory_participation,center_is_dominant,center_is_reference,co_source_peak_id,combination_relationship_id,confidence_class,confidence_numeric_projection,denominator,display_in_panel,divisor_order,edge_id,edge_type,harmonic_order,inverse_relationship_reference,modulation_frequency_candidate,normalized_resolution_residual,numerator,offset,offset_asymmetry,original_relationship_id,participant_power_ratio,predicted_frequency,primary_structural_sideband_selected,projection_role,ratio,relationship_fingerprint,relationship_similarity_weight,relative_frequency_residual,semantic_fingerprint,sideband_relationship_id,sideband_role,source_node_id,target_node_id
0.012295667619575568,False,,,,,HIGH,1.0,,NO,,edge:HARMONIC:harmonic:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0002:2:BASE_TO_TARGET:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0002,HARMONIC,2,,,0.11029647399999636,,,,harmonic:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0002:2,0.2648835429091408,3.3643501429363845,,BASE_TO_TARGET,,b9c0e8eed164f918a4a677e6292c4f3a2dcfd985a2ca644d77d85931de2a2560,0.9006603402038754,0.0036546932088477517,e611ba1aff6be0b4e270ee5a8b82e5c9a1118c235276d4dc83421e6969a90ffd,,,node:retained_peak:observation:4a4591056283a9debf557521:0001,node:retained_peak:observation:4a4591056283a9debf557521:0002
0.009999999999999787,False,,,retained_peak:observation:4a4591056283a9debf557521:0003,difference:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0003:retained_peak:observation:4a4591056283a9debf557521:0002,HIGH,1.0,,NO,,edge:DIFFERENCE_COMBINATION:difference:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0003:retained_peak:observation:4a4591056283a9debf557521:0002:LOW_SOURCE:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0002,DIFFERENCE_COMBINATION,,,,0.08970352599999878,,,,difference:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0003:retained_peak:observation:4a4591056283a9debf557521:0002,,3.3666458105559602,,LOW_SOURCE,,14f4ddf14e65cc10d326fe8b0b048cfc47c7876e4655b4f87b0c8549ac16df38,0.9176807967858234,0.0029703154304635358,6ca08bf04f8e56f0cdcfea7e91eebc479fcb86dcbd2e72187e35d712df426a0e,,,node:retained_peak:observation:4a4591056283a9debf557521:0001,node:retained_peak:observation:4a4591056283a9debf557521:0002
0.002295667619575781,False,,,,,HIGH,1.0,,YES,,edge:HARMONIC:harmonic:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0003:3:BASE_TO_TARGET:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0003,HARMONIC,3,,,0.020592947999997575,,,,harmonic:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0003:3,0.11034609209721422,5.046525214404577,,BASE_TO_TARGET,,d0328ffbff6ae850a4c2e4136ad829df9def3628d49989372fe79542aed56869,0.9798225648723593,0.00045490065382476034,e05b7bc8d64f0e1ad4861d8a714acc7b7b6fe42efb5b5d0f39fd6d2796a1cfc9,,,node:retained_peak:observation:4a4591056283a9debf557521:0001,node:retained_peak:observation:4a4591056283a9debf557521:0003
0.009999999999999787,False,,,retained_peak:observation:4a4591056283a9debf557521:0002,sum:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0002:retained_peak:observation:4a4591056283a9debf557521:0003,HIGH,1.0,,YES,,edge:SUM_COMBINATION:sum:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0002:retained_peak:observation:4a4591056283a9debf557521:0003:SOURCE_A:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0003,SUM_COMBINATION,,,,0.08970352599999878,,,,sum:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0002:retained_peak:observation:4a4591056283a9debf557521:0003,,5.058820882024152,,SOURCE_A,,3de0ccb4ba750647282edc07dffd19f09750011d23ab1163ee413d01e4bea512,0.9176807967858234,0.0019767452205183738,766c601ce386a2c905efbf9144ba7453e223c109fc7fcf798053a1d9985669bd,,,node:retained_peak:observation:4a4591056283a9debf557521:0001,node:retained_peak:observation:4a4591056283a9debf557521:0003
0.012295667619575568,False,,,retained_peak:observation:4a4591056283a9debf557521:0006,difference:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0006:retained_peak:observation:4a4591056283a9debf557521:0003,HIGH,1.0,,NO,,edge:DIFFERENCE_COMBINATION:difference:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0006:retained_peak:observation:4a4591056283a9debf557521:0003:LOW_SOURCE:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0003,DIFFERENCE_COMBINATION,,,,0.11029647399999636,,,,difference:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0006:retained_peak:observation:4a4591056283a9debf557521:0003,,5.061116549643728,,LOW_SOURCE,,bef32f5d1ff34513779273c41a3fa718dda7d671b30b3c09bf06ff3e2d9bd495,0.9006603402038754,0.0024294377533038846,47c9cb12c3fa061cf4226edaf2faa76e5654a5fbe01472ae4b0447ed8280c05d,,,node:retained_peak:observation:4a4591056283a9debf557521:0001,node:retained_peak:observation:4a4591056283a9debf557521:0003
0.03083866793721235,False,,,,,MODERATE,0.5,9,NO,,edge:RATIONAL:rational:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0004:10:9:LOW_TO_HIGH:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0004,RATIONAL,,,,0.27663372511111156,10,,,rational:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0004:10:9,0.053779238430588294,1.8690834127424358,,LOW_TO_HIGH,10/9,1b696c3d542b34c3ffedc7417cb586dbb4a22b2b568bee9f2b514c7e863e0e64,0.7833100288126614,0.016499353494322615,60966dfbb5e805291119bd4590c8364a6c0e160aec05868310627b33aaf33de8,,,node:retained_peak:observation:4a4591056283a9debf557521:0001,node:retained_peak:observation:4a4591056283a9debf557521:0004
0.010000000000000009,True,,,retained_peak:observation:4a4591056283a9debf557521:0026,sum:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0026:retained_peak:observation:4a4591056283a9debf557521:0004,HIGH,1.0,,NO,,edge:SUM_COMBINATION:sum:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0026:retained_peak:observation:4a4591056283a9debf557521:0004:SOURCE_A:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0004,SUM_COMBINATION,,,,0.08970352600000078,,,,sum:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0026:retained_peak:observation:4a4591056283a9debf557521:0004,,1.8482447448052235,,SOURCE_A,,bb2cda0871baa55fbccdced85f61245b8e82f62cbabbee80600d1e4c4a99fdf4,0.9176807967858216,0.00541053885212256,65bd138c78863e1ad56be7b2a62e81ec3d29c61211a34b76a0f804ca9d32abc1,,,node:retained_peak:observation:4a4591056283a9debf557521:0001,node:retained_peak:observation:4a4591056283a9debf557521:0004
0.01229566761957579,False,,,retained_peak:observation:4a4591056283a9debf557521:0007,difference:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0007:retained_peak:observation:4a4591056283a9debf557521:0004,HIGH,1.0,,NO,,edge:DIFFERENCE_COMBINATION:difference:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0007:retained_peak:observation:4a4591056283a9debf557521:0004:LOW_SOURCE:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0004,DIFFERENCE_COMBINATION,,,,0.11029647399999835,,,,difference:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0007:retained_peak:observation:4a4591056283a9debf557521:0004,,1.8505404124247993,,LOW_SOURCE,,06ca5ea75bc088d1ff467cb6bd768631b68d1d6c8ca86a94f470bf9a531735db,0.9006603402038738,0.006644365903614359,da47dcaf3bd8aeb22283db30e906f064a7b58d25a26208d8913edadce8af315a,,,node:retained_peak:observation:4a4591056283a9debf557521:0001,node:retained_peak:observation:4a4591056283a9debf557521:0004
,False,True,False,,,HIGH,1.0,,NO,,edge:SIDEBAND_PAIR:sideband:retained_peak:observation:4a4591056283a9debf557521:0005:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0004:RIGHT:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0004,SIDEBAND_PAIR,,,0.15606967333703126,0.0,,0.15606967333703126,0.0,sideband:retained_peak:observation:4a4591056283a9debf557521:0005:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0004,,,False,RIGHT,,c2f3568bce050ad6be504f178e2292c3d28fd7e79f3ba64aa20fae1a1c2b3fad,1.0,,27ee7e1dd58d74d0f2f2f9afa7344bdb2862d551f815f365c42c551b45d30419,sideband:retained_peak:observation:4a4591056283a9debf557521:0005:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0004,RIGHT,node:retained_peak:observation:4a4591056283a9debf557521:0001,node:retained_peak:observation:4a4591056283a9debf557521:0004
0.010000000000000453,False,,,retained_peak:observation:4a4591056283a9debf557521:0008,difference:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0008:retained_peak:observation:4a4591056283a9debf557521:0005,HIGH,1.0,,NO,,edge:DIFFERENCE_COMBINATION:difference:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0008:retained_peak:observation:4a4591056283a9debf557521:0005:LOW_SOURCE:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0005,DIFFERENCE_COMBINATION,,,,0.08970352600000477,,,,difference:retained_peak:observation:4a4591056283a9debf557521:0001:retained_peak:observation:4a4591056283a9debf557521:0008:retained_peak:observation:4a4591056283a9debf557521:0005,,1.5161053981311605,,LOW_SOURCE,,1583067a44912ef31795d5e87f9dbefd078e4f38d8f9bb920aba29108df18253,0.9176807967858183,0.006595847500000352,e0649af9d873be39a4018275f48e6fd7b201dbef4bc5375fb0eca0a195b34f32,,,node:retained_peak:observation:4a4591056283a9debf557521:0001,node:retained_peak:observation:4a4591056283a9debf557521:0005
